id,titulo,empresa,ciudad,modalidad,dominio,url,skills,overall_score
magneto_api:f801d38bd6c8885ad6a1ae26,Trabajos en Oficios Varios Aseo y Seguridad | Magneto Empleos,,,,ambiental,https://www.magneto365.com/co/trabajos/oficios-varios-aseo-seguridad,,0.5642
magneto_api:e4c3a7c1493c9d3eca7aed07,,,,,management,https://www.magneto365.com/co/trabajos/ofertas-empleo-de-despachador-equipo-mantenimiento-empresas-publicas,,0.2258
magneto_api:7b3df61dc75e9668eaf45337,,,,,management,https://www.magneto365.com/co/trabajos/ofertas-empleo-de-obrero-carga-empresas-mudanzas,,0.2258
magneto_api:cfff8b63ee0d048603e1f81d,Trabajos en Ventas y Servicio al Cliente | Magneto Empleos,,,,gestion_humana,https://www.magneto365.com/co/trabajos/ventas-servicio-cliente-marketing,,0.5608
magneto_api:e3f045fc0830d3086be573f5,,,,,marketing,https://www.magneto365.com/co/trabajos/ofertas-empleo-de-gerente-general-ventas-empresas-comercio-medios-comunicacion,,0.2258
magneto_api:030b66b8bebf2cbb72b1b798,,,,,energia,https://www.magneto365.com/co/trabajos/ofertas-empleo-de-vicepresidente-operaciones-empresa-energia-electrica,,0.2258
magneto_api:a088d391077374330015c2f5,,,,,management,https://www.magneto365.com/co/trabajos/ofertas-empleo-de-vicepresidente-empresa-telecomunicaciones,,0.2258
magneto_api:14bfeae92c373e34f7b84282,,,,,management,https://www.magneto365.com/co/trabajos/ofertas-empleo-de-telefonista-empresa-taxis,,0.2258
magneto_api:d19a16bb28c2cb9bda9f73d4,Trabajos en Manufactura y Producción | Magneto Empleos,,,,logistica,https://www.magneto365.com/co/trabajos/manufactura-produccion-operativos,,0.3775
magneto_api:f1561ff4badbc808f2244b2c,,,,,logistica,https://www.magneto365.com/co/trabajos/ofertas-empleo-de-director-general-ventas-empresas-manufactureras-construccion-transporte,,0.2258
magneto_api:50a28db21a9c27b0d89d3570,,,,,management,https://www.magneto365.com/co/trabajos/ofertas-empleo-de-director-ejecutivo-empresa-manufacturera,,0.2258
magneto_api:8b4aec794bd59eb0387ebd81,,,,,management,https://www.magneto365.com/co/trabajos/ofertas-empleo-de-vicepresidente-produccion-empresas-comercio-medios-comunicacion,,0.2258
magneto_api:9b6e33f415b28f04009b51c0,,,,,logistica,https://www.magneto365.com/co/trabajos/ofertas-empleo-de-gerente-general-empresas-manufactureras-construccion-transporte,,0.2258
magneto_api:fb811ca0e142629c4af574a2,,,,,logistica,https://www.magneto365.com/co/trabajos/ofertas-empleo-de-director-general-empresas-manufactureras-construccion-transporte,,0.2258
magneto_api:7890576a52b6bffd3a82a2c5,,,,,management,https://www.magneto365.com/co/trabajos/ofertas-empleo-de-vicepresidente-produccion-empresa-manufacturera,,0.2258
magneto_api:b7b0d68016851af13b5f8d9e,,,,,logistica,https://www.magneto365.com/co/trabajos/ofertas-empleo-de-vicepresidente-empresas-manufactureras-construccion-transporte,,0.2258
magneto_api:fa7f6313c02ba300a4049239,,,,,logistica,https://www.magneto365.com/co/trabajos/ofertas-empleo-de-presidente-empresas-manufactureras-construccion-transporte,,0.2258
magneto_api:4980187cfa2c3478fb06292d,,,,,management,https://www.magneto365.com/co/trabajos/ofertas-empleo-de-vicepresidente-empresa-manufacturera,,0.2258
magneto_api:351970c55706a2ab1f7c7735,,,,,management,https://www.magneto365.com/co/trabajos/ofertas-empleo-de-presidente-empresa-manufacturera,,0.2258
magneto_api:2bf1f185ad13c9f46ae063db,Trabajos en Técnicos y de Mantenimiento | Magneto Empleos,,,,salud,https://www.magneto365.com/co/trabajos/tecnicos-reparaciones-mantenimiento,,0.3767
magneto_api:c4dd259005c16eca692682d5,Trabajos en Tecnología y Sistemas | Magneto Empleos,,,,energia,https://www.magneto365.com/co/trabajos/informatica-tecnologia-sistemas,energias renovables,0.6072
magneto_api:b58afff41d6db8a993bc050c,,,,,management,https://www.magneto365.com/co/trabajos/ofertas-empleo-de-analista-empresas-tic,,0.2258
magneto_api:f7b5416fca6a37ec64d8c5e6,,,,,management,https://www.magneto365.com/co/trabajos/ofertas-empleo-de-analista-diseno-sistemas-empresariales,,0.2258
magneto_api:76e453cc17cbebd58e59527c,Trabajos en Consultoría y Servicios Profesionales | Magneto Empleos,,,,gestion_humana,https://www.magneto365.com/co/trabajos/profesionales-consultorias-servicios,,0.375
magneto_api:531b6e93e06278f159a67bdb,,,,,management,https://www.magneto365.com/co/trabajos/ofertas-empleo-de-gerente-comercial-banca-empresarial,,0.2258
magneto_api:140ab58ea3d6a8d4d0352636,,,,,management,https://www.magneto365.com/co/trabajos/ofertas-empleo-de-representante-servicios-empresas,,0.2258
magneto_api:efadbf7f9fbd2b102e764337,,,,,management,https://www.magneto365.com/co/trabajos/ofertas-empleo-de-administrador-empresa-servicio-publico,,0.2258
magneto_api:48ef9462c87b1ca8ae5ab38c,,,,,management,https://www.magneto365.com/co/trabajos/ofertas-empleo-de-asesor-empresas,,0.2258
magneto_api:b357402c0bfd0f3ed257bff5,,,,,management,https://www.magneto365.com/co/trabajos/ofertas-empleo-de-gerente-empresa-servicios-intermediacion-financiera,,0.2258
magneto_api:7c7e4b40d2ff5c14611b9d4a,,,,,management,https://www.magneto365.com/co/trabajos/ofertas-empleo-de-gerente-empresas-servicios-publicos,,0.2258
magneto_api:a9b7ccd66498725bbe417620,,,,,management,https://www.magneto365.com/co/trabajos/ofertas-empleo-de-gerente-empresa-servicios-estadisticos,,0.2258
magneto_api:2d15f43f32f42ad1eb7a5f88,,,,,management,https://www.magneto365.com/co/trabajos/ofertas-empleo-de-gerente-empresa-servicios-informaticos,,0.2258
magneto_api:e1c45400cdf04e225fd83f4a,,,,,management,https://www.magneto365.com/co/trabajos/ofertas-empleo-de-gerente-otros-servicios-empresas,,0.2258
magneto_api:1a97bca27b4dc9b67e9222f1,,,,,management,https://www.magneto365.com/co/trabajos/ofertas-empleo-de-gerente-servicios-empresas,,0.2258
magneto_api:e22837eaa8cdee583b78e265,,,,,management,https://www.magneto365.com/co/trabajos/ofertas-empleo-de-director-servicios-empresas,,0.2258
magneto_api:b191d0a78e53aab363575eaf,,,,,management,https://www.magneto365.com/co/trabajos/ofertas-empleo-de-director-ejecutivo-empresas-comercios-medios-comunicacion,,0.2258
magneto_api:ccc0fe67cf268daad5b1ee18,,,,,finanzas,https://www.magneto365.com/co/trabajos/ofertas-empleo-de-secretario-general-financiero-empresa,,0.2258
magneto_api:55f09a7c05d90ffa3e23d8f9,,,,,management,https://www.magneto365.com/co/trabajos/ofertas-empleo-de-consultor-gestion-general-estrategica-empresarial,,0.2258
magneto_api:d50b69593862aebd98a2f5ca,,,,,management,https://www.magneto365.com/co/trabajos/ofertas-empleo-de-administrador-empresa,,0.2258
